pool	subset	target	model	reference	comparison	metric	value	reference_value	change	percent_change
protected_core	all	ytar	beam	enet	previous	bias	0.009974693486049473	0.008383938098834967	0.0015907553872145062	
protected_core	all	ytar	beam	enet	previous	spread	0.13565812800344101	0.13687037254960324	-0.0012122445461622278	-0.885688059132661
protected_core	all	ytar	beam	enet	previous	rms	0.13602434415772285	0.13712690946678655	-0.001102565309063691	-0.8040473699516548
protected_core	all	ytar	beam	enet	previous	median	0.08951166757604652	0.0905045290847425	-0.0009928615086959858	-1.097029638998881
protected_core	all	ytar	beam	enet	previous	p90	0.2218795375958589	0.22285255944409504	-0.0009730218482361386	-0.43662134761356386
protected_core	all	ytar	beam	enet	previous	cell_mse	0.02274531780220487	0.023201002154575733	-0.000455684352370863	-1.9640718505816501
protected_core	all	yptar	old	old	starting	bias	-0.06654405863386897	-0.06654405863386897	0.0	
protected_core	all	yptar	old	old	starting	spread	1.046569701428251	1.046569701428251	0.0	0.0
protected_core	all	yptar	old	old	starting	rms	1.0486831035575457	1.0486831035575457	0.0	0.0
protected_core	all	yptar	old	old	starting	median	0.7080590423211921	0.7080590423211921	0.0	0.0
protected_core	all	yptar	old	old	starting	p90	1.720446042261939	1.720446042261939	0.0	0.0
protected_core	all	yptar	old	old	starting	cell_mse	1.2218805326752347	1.2218805326752347	0.0	0.0
protected_core	all	yptar	gmm	old	starting	bias	0.00011524528452507283	-0.06654405863386897	0.06665930391839404	
protected_core	all	yptar	gmm	old	starting	spread	1.034432550632169	1.046569701428251	-0.012137150796081908	-1.1597078321222587
protected_core	all	yptar	gmm	old	starting	rms	1.0344325570518604	1.0486831035575457	-0.014250546505685247	-1.358899219157983
protected_core	all	yptar	gmm	old	starting	median	0.7065442010863563	0.7080590423211921	-0.0015148412348358065	-0.21394278503523712
protected_core	all	yptar	gmm	old	starting	p90	1.7025708515666471	1.720446042261939	-0.017875190695291865	-1.0389858360097537
protected_core	all	yptar	gmm	old	starting	cell_mse	1.1565510760315947	1.2218805326752347	-0.06532945664363998	-5.3466320885401935
protected_core	all	yptar	gmm	old	previous	bias	0.00011524528452507283	-0.06654405863386897	0.06665930391839404	
protected_core	all	yptar	gmm	old	previous	spread	1.034432550632169	1.046569701428251	-0.012137150796081908	-1.1597078321222587
protected_core	all	yptar	gmm	old	previous	rms	1.0344325570518604	1.0486831035575457	-0.014250546505685247	-1.358899219157983
protected_core	all	yptar	gmm	old	previous	median	0.7065442010863563	0.7080590423211921	-0.0015148412348358065	-0.21394278503523712
protected_core	all	yptar	gmm	old	previous	p90	1.7025708515666471	1.720446042261939	-0.017875190695291865	-1.0389858360097537
protected_core	all	yptar	gmm	old	previous	cell_mse	1.1565510760315947	1.2218805326752347	-0.06532945664363998	-5.3466320885401935
protected_core	all	yptar	core	old	starting	bias	-0.014651789396987773	-0.06654405863386897	0.0518922692368812	
protected_core	all	yptar	core	old	starting	spread	1.0290621972963236	1.046569701428251	-0.017507504131927254	-1.6728464533260268
protected_core	all	yptar	core	old	starting	rms	1.0291664981123663	1.0486831035575457	-0.019516605445179414	-1.8610584435823752
protected_core	all	yptar	core	old	starting	median	0.7028590014280561	0.7080590423211921	-0.005200040893135971	-0.7344078081524041
protected_core	all	yptar	core	old	starting	p90	1.6933265143986242	1.720446042261939	-0.02711952786331473	-1.576307957188805
protected_core	all	yptar	core	old	starting	cell_mse	1.1434982254784114	1.2218805326752347	-0.07838230719682326	-6.414891235332954
protected_core	all	yptar	core	gmm	previous	bias	-0.014651789396987773	0.00011524528452507283	-0.014767034681512846	
protected_core	all	yptar	core	gmm	previous	spread	1.0290621972963236	1.034432550632169	-0.005370353335845346	-0.5191593528803162
protected_core	all	yptar	core	gmm	previous	rms	1.0291664981123663	1.0344325570518604	-0.005266058939494167	-0.5090770687363633
protected_core	all	yptar	core	gmm	previous	median	0.7028590014280561	0.7065442010863563	-0.0036851996583001645	-0.5215809078376044
protected_core	all	yptar	core	gmm	previous	p90	1.6933265143986242	1.7025708515666471	-0.009244337168022865	-0.5429634343567247
protected_core	all	yptar	core	gmm	previous	cell_mse	1.1434982254784114	1.1565510760315947	-0.013052850553183282	-1.1286013063919964
protected_core	all	yptar	enet	old	starting	bias	-0.007403682714387749	-0.06654405863386897	0.05914037591948122	
protected_core	all	yptar	enet	old	starting	spread	1.0362605604850015	1.046569701428251	-0.010309140943249417	-0.9850410277672417
protected_core	all	yptar	enet	old	starting	rms	1.0362870083786755	1.0486831035575457	-0.012396095178870192	-1.1820630214044447
