rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported	excluded_core
rg02_theta15p195_foil0	0	0	1	4	88	36	18	11	17	0	0
rg02_theta15p195_foil0	0	0	1	5	86	36	18	13	17	0	0
rg02_theta15p195_foil0	0	0	1	6	65	33	13	10	0	0	0
rg02_theta15p195_foil0	0	0	2	2	42	21	9	3	0	0	0
rg02_theta15p195_foil0	0	0	2	3	7	0	2	0	0	7	0
rg02_theta15p195_foil0	0	0	2	4	98	35	20	11	21	0	0
rg02_theta15p195_foil0	0	0	2	5	113	35	23	12	29	0	0
rg02_theta15p195_foil0	0	0	2	6	124	36	25	20	35	0	0
rg02_theta15p195_foil0	0	0	3	2	45	21	9	6	0	0	0
rg02_theta15p195_foil0	0	0	3	3	81	36	17	16	17	0	0
rg02_theta15p195_foil0	0	0	3	4	103	36	21	14	27	0	0
rg02_theta15p195_foil0	0	0	3	5	157	36	32	25	61	0	0
rg02_theta15p195_foil0	0	0	3	6	161	36	33	22	56	0	0
rg02_theta15p195_foil0	0	0	4	2	48	25	10	8	0	0	0
rg02_theta15p195_foil0	0	0	4	3	79	36	16	9	13	0	0
rg02_theta15p195_foil0	0	0	4	4	36	24	8	6	0	0	0
rg02_theta15p195_foil0	0	0	4	5	158	36	32	24	61	0	0
rg02_theta15p195_foil0	0	0	4	6	179	35	36	29	60	0	0
rg02_theta15p195_foil0	0	0	5	2	27	16	6	6	0	0	0
rg02_theta15p195_foil0	0	0	5	3	75	36	15	11	10	0	0
rg02_theta15p195_foil0	0	0	5	4	110	36	22	18	34	0	0
rg02_theta15p195_foil0	0	0	5	5	7	0	2	0	0	7	0
rg02_theta15p195_foil0	0	0	5	6	159	36	32	27	59	0	0
rg02_theta15p195_foil0	0	0	6	2	14	9	3	3	0	0	0
rg02_theta15p195_foil0	0	0	6	3	49	30	10	7	0	0	0
rg02_theta15p195_foil0	0	0	6	4	77	35	16	11	12	0	0
rg02_theta15p195_foil0	0	0	6	5	96	36	20	17	22	0	0
rg02_theta15p195_foil0	0	0	6	6	170	36	34	24	64	0	0
rg02_theta15p195_foil0	0	0	7	2	12	0	3	0	0	12	0
rg02_theta15p195_foil0	0	0	7	3	33	24	7	7	0	0	0
rg02_theta15p195_foil0	0	0	7	4	56	36	12	9	0	0	0
rg02_theta15p195_foil0	0	0	7	5	67	36	14	13	4	0	0
rg02_theta15p195_foil0	0	0	7	6	103	36	21	15	24	0	0
rg02_theta15p195_foil0	0	0	8	2	12	0	3	0	0	12	0
rg02_theta15p195_foil0	0	0	8	3	20	12	4	3	0	0	0
rg02_theta15p195_foil0	0	0	8	4	24	14	5	3	0	0	0
rg02_theta15p195_foil0	0	0	8	5	44	29	9	6	0	0	0
rg02_theta15p195_foil0	0	0	8	6	63	36	13	11	2	0	0
rg02_theta15p195_foil0	0	1	0	2	34	23	7	6	0	0	0
rg02_theta15p195_foil0	0	1	0	3	55	30	11	8	0	0	0
rg02_theta15p195_foil0	0	1	0	4	72	30	15	14	16	0	0
rg02_theta15p195_foil0	0	1	0	5	100	30	20	14	32	0	0
rg02_theta15p195_foil0	0	1	0	6	49	29	10	8	0	0	0
rg02_theta15p195_foil0	0	1	1	2	47	30	10	7	1	0	0
rg02_theta15p195_foil0	0	1	1	3	87	30	18	12	25	0	0
rg02_theta15p195_foil0	0	1	1	4	105	30	21	16	36	0	0
rg02_theta15p195_foil0	0	1	1	5	152	30	31	24	69	0	0
rg02_theta15p195_foil0	0	1	1	6	148	30	30	24	63	0	0
