pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	n	qa_low	bias	rms	p95
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	enet	yptar	32	False	-0.16541399024993048	1.2539766441709161	2.0710036959772666
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	enet	ztar	32	False	-0.011916766399897832	0.8893385704567977	1.566013726569467
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	xptar	32	False	-1.477627609283021	2.9922552714145754	4.457023704932855
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	ytar	32	False	-0.020760606046625857	0.1744298472391306	0.2774566602591496
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	yptar	32	False	-0.18212071530668142	1.25752809520246	2.0268112704882566
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	2	svd	ztar	32	False	-0.09056398782928282	0.8177917486706788	1.289676338420025
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	enet	xptar	34	False	-2.0436352161482643	2.937297807979827	5.520065866559662
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	enet	ytar	34	False	0.2909834521389683	0.3471255814092944	0.6422171044802099
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	enet	yptar	34	False	-0.7415323220571709	1.4705984231960167	2.7012355963792527
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	enet	ztar	34	False	1.4336610506822058	1.7171585944153163	3.16564634452622
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	xptar	34	False	-0.3131874462603727	2.095329918851406	3.716281819453071
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	ytar	34	False	0.06095384501366514	0.22059141618154993	0.4468571322216687
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	yptar	34	False	-0.11217869710390786	1.3208147782823845	2.631540878679328
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	4	svd	ztar	34	False	0.29499473986571506	1.10732983491947	2.2088410648278183
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	enet	xptar	35	False	-1.0525231825996966	2.083537584647284	3.9276148835894915
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	enet	ytar	35	False	0.44455974745755383	0.47176771252895233	0.664355982963416
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	enet	yptar	35	False	-1.4670814470031275	1.7914495270668296	3.0156087145251673
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	enet	ztar	35	False	2.292358543882022	2.435217421097699	3.4386387812047206
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	xptar	35	False	0.4589348792024624	1.767074304933427	3.291078828301001
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	ytar	35	False	0.18542598934423507	0.2615948006090274	0.43172544340674596
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	yptar	35	False	-0.8673071831777989	1.3813486080634543	2.472192568174528
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	5	svd	ztar	35	False	0.9660194375655684	1.3668392499781	2.265069206065224
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	enet	xptar	7	True	-0.6190502299720377	1.6965680143143294	2.8710158358578797
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	enet	ytar	7	True	0.28619654131447075	0.3100719363021725	0.43166630670502787
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	enet	yptar	7	True	-0.878782338574534	1.2613030612892333	1.9087385682703342
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	enet	ztar	7	True	1.5440569326594926	1.6741529964855586	2.3345978404847383
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	svd	xptar	7	True	0.614269503452527	1.6639199958157418	3.022920183166047
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	svd	ytar	7	True	0.07218431110161383	0.1429034973706987	0.2231938510285005
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	svd	yptar	7	True	-0.7421285617992354	1.1464431094191625	1.9231816233317396
training	hole	-8.0	0	rg03_theta12p490_foilpm8	2	6	svd	ztar	7	True	0.4096546488261095	0.7862804934396215	1.2441228698460305
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	1	enet	xptar	17	False	-3.1022461123937752	3.8371579791819044	6.680858054997754
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	1	enet	ytar	17	False	-0.023654123623010927	0.2750820060675643	0.5304251781835381
training	hole	-8.0	0	rg03_theta12p490_foilpm8	3	1	enet	yptar	17	False	0.08381415634043368	1.517500584804665	3.3476305272786213
